Site,Status,Most Probable Number (MPN) of Enterococcus colonies per 100 ml,Year
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,41,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,546,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,246,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,108,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,31,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,30,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,262,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,2333,2015
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,189,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,134,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,30,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,81,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2016
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,52,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,31,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,331,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,228,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,83,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,197,2017
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,128,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,245,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,1211,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,313,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,1835,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,63,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,772,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,31,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,256,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,195,2018
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,52,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,11199,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,495,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,3076,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,1187,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,41,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,932,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,880,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,4541,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,2909,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,1467,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,706,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,31,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,160,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,31,2019
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,211,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,10,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,41,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,41,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,31,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,17329,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,51,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,30,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,15531,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,75,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,52,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,200,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,909,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,263,2020
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,596,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,815,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,285,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Acceptable,20,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,181,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,637,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,228,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,1257,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,311,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,686,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,581,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,24196,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",Unacceptable if levels persist,73,2021
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",High,6488,2021
"Newtown Creek, North Henry Street",High,305,2015
"Newtown Creek, North Henry Street",Unacceptable if levels persist,63,2015
"Newtown Creek, North Henry Street",High,213,2015
"Newtown Creek, North Henry Street",High,120,2015
"Newtown Creek, North Henry Street",Unacceptable if levels persist,52,2015
"Newtown Creek, North Henry Street",High,1314,2015
"Newtown Creek, North Henry Street",High,341,2015
"Newtown Creek, North Henry Street",High,452,2015
"Newtown Creek, North Henry Street",High,262,2015
"Newtown Creek, North Henry Street",Acceptable,30,2015
"Newtown Creek, North Henry Street",Acceptable,10,2015
"Newtown Creek, North Henry Street",Acceptable,30,2015
"Newtown Creek, North Henry Street",High,1095,2015
"Newtown Creek, North Henry Street",Unacceptable if levels persist,52,2015
"Newtown Creek, North Henry Street",High,228,2015
"Newtown Creek, North Henry Street",High,235,2015
"Newtown Creek, North Henry Street",High,12033,2015
"Newtown Creek, North Henry Street",Acceptable,31,2015
"Newtown Creek, North Henry Street",Acceptable,10,2015
"Newtown Creek, North Henry Street",High,9193,2015
"Newtown Creek, North Henry Street",Acceptable,20,2016
"Newtown Creek, North Henry Street",High,1291,2016
"Newtown Creek, North Henry Street",High,776,2016
"Newtown Creek, North Henry Street",Unacceptable if levels persist,86,2016
"Newtown Creek, North Henry Street",Acceptable,10,2016
"Newtown Creek, North Henry Street",Acceptable,31,2016
"Newtown Creek, North Henry Street",Acceptable,10,2016
"Newtown Creek, North Henry Street",Unacceptable if levels persist,74,2016
"Newtown Creek, North Henry Street",Unacceptable if levels persist,41,2016
"Newtown Creek, North Henry Street",Acceptable,20,2016
"Newtown Creek, North Henry Street",Unacceptable if levels persist,74,2016
"Newtown Creek, North Henry Street",Acceptable,10,2016
"Newtown Creek, North Henry Street",High,158,2016
"Newtown Creek, North Henry Street",High,12033,2016
"Newtown Creek, North Henry Street",Unacceptable if levels persist,63,2016
"Newtown Creek, North Henry Street",High,464,2016
"Newtown Creek, Turning Basin",High,171,2017
"Newtown Creek, Turning Basin",Acceptable,10,2017
"Newtown Creek, Turning Basin",High,432,2017
"Newtown Creek, Turning Basin",Acceptable,10,2017
"Newtown Creek, Turning Basin",High,171,2017
"Newtown Creek, Turning Basin",Acceptable,10,2017
"Newtown Creek, Turning Basin",High,108,2017
"Newtown Creek, Turning Basin",Unacceptable if levels persist,52,2017
"Newtown Creek, Turning Basin",High,108,2017
"Newtown Creek, Turning Basin",High,315,2017
"Newtown Creek, Turning Basin",Acceptable,10,2017
"Newtown Creek, Turning Basin",Unacceptable if levels persist,85,2017
"Newtown Creek, Turning Basin",Acceptable,20,2017
"Newtown Creek, Turning Basin",High,464,2017
"Newtown Creek, Turning Basin",Unacceptable if levels persist,52,2017
"Newtown Creek, Turning Basin",Acceptable,30,2017
"Newtown Creek, Turning Basin",Unacceptable if levels persist,63,2017
"Newtown Creek, Turning Basin",High,109,2018
"Newtown Creek, Turning Basin",Acceptable,20,2018
"Newtown Creek, Turning Basin",High,130,2018
"Newtown Creek, Turning Basin",Acceptable,10,2018
"Newtown Creek, Turning Basin",High,7915,2018
"Newtown Creek, Turning Basin",Acceptable,31,2018
"Newtown Creek, Turning Basin",High,173,2018
"Newtown Creek, Turning Basin",High,426,2018
"Newtown Creek, Turning Basin",High,1686,2018
"Newtown Creek, Turning Basin",High,232,2018
"Newtown Creek, Turning Basin",High,121,2018
"Newtown Creek, Turning Basin",High,1585,2018
"Newtown Creek, Turning Basin",High,6294,2018
"Newtown Creek, Turning Basin",Acceptable,31,2018
"Newtown Creek, Turning Basin",High,2235,2018
"Newtown Creek, Turning Basin",High,17329,2018
"Newtown Creek, Turning Basin",High,1510,2019
"Newtown Creek, Turning Basin",High,2500,2019
"Newtown Creek, Turning Basin",High,6131,2019
"Newtown Creek, Turning Basin",High,1162,2019
"Newtown Creek, Turning Basin",High,168,2019
"Newtown Creek, Turning Basin",High,5172,2019
"Newtown Creek, Turning Basin",High,776,2019
"Newtown Creek, Turning Basin",High,8664,2019
"Newtown Creek, Turning Basin",High,1935,2019
"Newtown Creek, Turning Basin",High,24196,2019
"Newtown Creek, Turning Basin",High,909,2019
"Newtown Creek, Turning Basin",High,183,2019
"Newtown Creek, Turning Basin",Unacceptable if levels persist,86,2019
"Newtown Creek, Turning Basin",Acceptable,10,2019
"Newtown Creek, Turning Basin",High,15531,2020
"Newtown Creek, Turning Basin",Acceptable,10,2020
"Newtown Creek, Turning Basin",High,1497,2020
"Newtown Creek, Turning Basin",Acceptable,10,2020
"Newtown Creek, Turning Basin",Acceptable,20,2020
"Newtown Creek, Turning Basin",Unacceptable if levels persist,41,2020
"Newtown Creek, Turning Basin",Acceptable,20,2020
"Newtown Creek, Turning Basin",High,24196,2020
"Newtown Creek, Turning Basin",Unacceptable if levels persist,103,2020
"Newtown Creek, Turning Basin",High,193,2020
"Newtown Creek, Turning Basin",High,4120,2020
"Newtown Creek, Turning Basin",High,985,2020
"Newtown Creek, Turning Basin",Acceptable,10,2020
"Newtown Creek, Whale Creek",Acceptable,10,2012
"Newtown Creek, Whale Creek",High,336,2012
"Newtown Creek, Whale Creek",Acceptable,20,2012
"Newtown Creek, Whale Creek",Acceptable,10,2012
Prospect Park Lake,High,19863,2015
Prospect Park Lake,High,19863,2015
Prospect Park Lake,High,3026,2015
Prospect Park Lake,High,824,2015
Prospect Park Lake,High,341,2015
Prospect Park Lake,High,132,2015
Prospect Park Lake,High,108,2015
Prospect Park Lake,High,2613,2015
Prospect Park Lake,Unacceptable if levels persist,84,2015
Prospect Park Lake,High,1379,2015
Prospect Park Lake,Unacceptable if levels persist,51,2015
Prospect Park Lake,Unacceptable if levels persist,73,2015
Prospect Park Lake,High,1515,2015
Prospect Park Lake,High,496,2015
Prospect Park Lake,High,581,2015
Prospect Park Lake,High,11199,2015
Prospect Park Lake,High,556,2015
Prospect Park Lake,High,323,2015
Prospect Park Lake,High,1014,2015
Prospect Park Lake,High,211,2016
Prospect Park Lake,High,333,2016
Prospect Park Lake,High,341,2016
Prospect Park Lake,High,108,2016
Prospect Park Lake,High,651,2016
Prospect Park Lake,High,554,2016
Prospect Park Lake,High,120,2016
Prospect Park Lake,Unacceptable if levels persist,97,2016
Prospect Park Lake,High,213,2016
Prospect Park Lake,High,538,2016
Prospect Park Lake,High,410,2016
Prospect Park Lake,Unacceptable if levels persist,41,2016
Prospect Park Lake,Unacceptable if levels persist,41,2016
Prospect Park Lake,High,464,2016
Prospect Park Lake,Unacceptable if levels persist,85,2016
Prospect Park Lake,High,399,2016
Prospect Park Lake,High,426,2016
Prospect Park Lake,High,226,2016
Prospect Park Lake,High,331,2016
Prospect Park Lake,Unacceptable if levels persist,84,2016
Prospect Park Lake,High,388,2017
Prospect Park Lake,High,886,2017
Prospect Park Lake,High,109,2017
Prospect Park Lake,Unacceptable if levels persist,95,2017
Prospect Park Lake,High,195,2017
Prospect Park Lake,Unacceptable if levels persist,51,2017
Prospect Park Lake,Acceptable,30,2017
Prospect Park Lake,Unacceptable if levels persist,63,2017
Prospect Park Lake,Unacceptable if levels persist,41,2017
Prospect Park Lake,Acceptable,20,2017
Prospect Park Lake,Unacceptable if levels persist,75,2017
Prospect Park Lake,High,173,2017
Prospect Park Lake,High,156,2017
Prospect Park Lake,Unacceptable if levels persist,41,2017
Prospect Park Lake,High,119,2017
Prospect Park Lake,High,253,2017
Prospect Park Lake,High,884,2017
Prospect Park Lake,High,496,2017
Prospect Park Lake,High,336,2017
Prospect Park Lake,High,1031,2018
Prospect Park Lake,High,1408,2018
Prospect Park Lake,High,212,2018
Prospect Park Lake,High,316,2018
Prospect Park Lake,High,780,2018
Prospect Park Lake,High,19863,2018
Prospect Park Lake,Unacceptable if levels persist,75,2018
Prospect Park Lake,High,473,2018
Prospect Park Lake,High,546,2018
Prospect Park Lake,High,108,2018
Prospect Park Lake,High,422,2018
Prospect Park Lake,High,206,2018
Prospect Park Lake,High,404,2018
Prospect Park Lake,Unacceptable if levels persist,63,2018
Prospect Park Lake,High,216,2018
Prospect Park Lake,High,1100,2018
Prospect Park Lake,High,585,2018
Prospect Park Lake,Unacceptable if levels persist,52,2018
Prospect Park Lake,High,211,2018
Prospect Park Lake,High,19863,2019
Prospect Park Lake,High,2014,2019
Prospect Park Lake,High,908,2019
Prospect Park Lake,High,262,2019
Prospect Park Lake,High,302,2019
Prospect Park Lake,High,712,2019
Prospect Park Lake,Unacceptable if levels persist,98,2019
Prospect Park Lake,High,384,2019
Prospect Park Lake,High,275,2019
Prospect Park Lake,High,148,2019
Prospect Park Lake,High,1597,2019
Prospect Park Lake,High,638,2019
Prospect Park Lake,High,3076,2019
Prospect Park Lake,High,206,2019
Prospect Park Lake,High,480,2019
Prospect Park Lake,High,717,2019
Prospect Park Lake,High,6131,2019
Prospect Park Lake,High,622,2019
Prospect Park Lake,High,24196,2019
Prospect Park Lake,High,738,2020
Prospect Park Lake,High,354,2020
Prospect Park Lake,Acceptable,31,2020
Prospect Park Lake,High,788,2020
Prospect Park Lake,High,1455,2020
Prospect Park Lake,High,132,2020
Prospect Park Lake,High,528,2020
Prospect Park Lake,High,107,2020
Prospect Park Lake,High,1112,2020
Prospect Park Lake,High,259,2020
Prospect Park Lake,Unacceptable if levels persist,52,2020
Prospect Park Lake,High,1211,2020
Prospect Park Lake,High,158,2021
Prospect Park Lake,High,269,2021
Prospect Park Lake,High,955,2021
Prospect Park Lake,Acceptable,31,2021
Prospect Park Lake,High,118,2021
Prospect Park Lake,High,1012,2021
Prospect Park Lake,High,884,2021
Prospect Park Lake,High,578,2021
Prospect Park Lake,High,173,2021
Prospect Park Lake,High,3255,2021
Prospect Park Lake,High,1317,2021
Prospect Park Lake,High,576,2021
Prospect Park Lake,High,727,2021
Prospect Park Lake,High,146,2021
Prospect Park Lake,High,175,2021
Prospect Park Lake,High,181,2021
"Raritan Bay, Great Kills Beach",Acceptable,26,2017
"Raritan Bay, Great Kills Beach",Acceptable,7,2017
"Raritan Bay, Great Kills Beach",Unacceptable if levels persist,100,2017
"Raritan Bay, Great Kills Beach",Acceptable,6,2017
"Raritan Bay, Great Kills Beach",High,2100,2017
"Raritan Bay, Great Kills Beach",Unacceptable if levels persist,35,2017
"Raritan Bay, Great Kills Beach",Acceptable,13,2017
"Raritan Bay, Great Kills Beach",Unacceptable if levels persist,37,2017
"Raritan Bay, Great Kills Beach",Acceptable,20,2017
"Raritan Bay, Great Kills Beach",Acceptable,30,2017
"Raritan Bay, Great Kills Beach",Acceptable,18,2017
"Raritan Bay, Great Kills Beach",Acceptable,20,2021
"Raritan Bay, Great Kills Beach",Unacceptable if levels persist,42,2021
"Raritan Bay, Great Kills Beach",Acceptable,10,2021
"Raritan Bay, Great Kills Beach",Acceptable,10,2021
"Raritan Bay, Great Kills Beach",Acceptable,20,2021
"Raritan Bay, Great Kills Beach",Acceptable,10,2021
"Raritan Bay, Great Kills Beach",Acceptable,10,2021
"Raritan Bay, Great Kills Beach",Acceptable,31,2021
"Raritan Bay, Great Kills Beach",High,110,2021
"Raritan Bay, Great Kills Beach",Unacceptable if levels persist,53,2021
"Raritan Bay, Great Kills Beach",High,192,2021
"Raritan Bay, Great Kills Beach",Acceptable,10,2021
"Raritan Bay, Great Kills Beach",Acceptable,10,2021
"Raritan Bay, Oakwood Beach",Acceptable,10,2021
"Raritan Bay, Oakwood Beach",Acceptable,31,2021
"Raritan Bay, Oakwood Beach",Acceptable,10,2021
"Raritan Bay, Oakwood Beach",Acceptable,10,2021
"Raritan Bay, Oakwood Beach",Acceptable,10,2021
"Raritan Bay, Oakwood Beach",Acceptable,31,2021
"Raritan Bay, Oakwood Beach",Unacceptable if levels persist,42,2021
"Raritan Bay, Oakwood Beach",Acceptable,10,2021
"Raritan Bay, Oakwood Beach",Unacceptable if levels persist,53,2021
"Raritan Bay, Oakwood Beach",Acceptable,20,2021
"Raritan Bay, Oakwood Beach",Acceptable,20,2021
"Raritan Bay, Oakwood Beach",Unacceptable if levels persist,42,2021
"Raritan Bay, Oakwood Beach",Acceptable,10,2021
"Raritan Bay, Oakwood Beach",Unacceptable if levels persist,42,2021
"Raritan Bay, Oakwood Beach",High,111,2021
"Raritan Bay, Oakwood Beach",Unacceptable if levels persist,42,2021
"Raritan Bay, Oakwood Beach",Acceptable,10,2021
"Raritan Bay, Oakwood Beach",Acceptable,20,2021
"Raritan Bay, South Beach",Acceptable,30,2012
"Raritan Bay, South Beach",Acceptable,10,2012
"Raritan Bay, South Beach",Acceptable,20,2012
"Raritan Bay, South Beach",Acceptable,20,2012
"Raritan Bay, South Beach",Acceptable,20,2012
"Raritan Bay, South Beach",Acceptable,30,2012
"Raritan Bay, South Beach",High,132,2012
"Raritan Bay, Waterfront Park",Acceptable,27,2019
"Raritan Bay, Waterfront Park",Acceptable,15,2019
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,51,2019
"Raritan Bay, Waterfront Park",High,900,2019
"Raritan Bay, Waterfront Park",Acceptable,15,2019
"Raritan Bay, Waterfront Park",High,2500,2019
"Raritan Bay, Waterfront Park",High,200,2019
"Raritan Bay, Waterfront Park",High,420,2019
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,60,2019
"Raritan Bay, Waterfront Park",High,260,2019
"Raritan Bay, Waterfront Park",High,1700,2019
"Raritan Bay, Waterfront Park",High,900,2019
"Raritan Bay, Waterfront Park",High,1100,2019
"Raritan Bay, Waterfront Park",High,1200,2019
"Raritan Bay, Waterfront Park",Acceptable,31,2020
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,100,2020
"Raritan Bay, Waterfront Park",High,1400,2020
"Raritan Bay, Waterfront Park",Acceptable,16,2020
"Raritan Bay, Waterfront Park",Acceptable,10,2020
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,49,2020
"Raritan Bay, Waterfront Park",Acceptable,20,2020
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,74,2021
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,97,2021
"Raritan Bay, Waterfront Park",High,158,2021
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,52,2021
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,52,2021
"Raritan Bay, Waterfront Park",Acceptable,20,2021
"Raritan Bay, Waterfront Park",Acceptable,20,2021
"Raritan Bay, Waterfront Park",Acceptable,10,2021
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,41,2021
"Raritan Bay, Waterfront Park",Acceptable,10,2021
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,52,2021
"Raritan Bay, Waterfront Park",Unacceptable if levels persist,75,2021
"Raritan Bay, Waterfront Park",High,236,2021
"Raritan Bay, Waterfront Park",Acceptable,10,2021
"Raritan Bay, Waterfront Park",High,17239,2021
"Raritan River, 2nd Street Park",High,120,2019
"Raritan River, 2nd Street Park",High,150,2019
"Raritan River, 2nd Street Park",High,2000,2019
"Raritan River, 2nd Street Park",Unacceptable if levels persist,41,2019
"Raritan River, 2nd Street Park",Unacceptable if levels persist,80,2019
"Raritan River, 2nd Street Park",High,420,2019
"Raritan River, 2nd Street Park",Unacceptable if levels persist,48,2019
"Raritan River, 2nd Street Park",High,1100,2019
"Raritan River, 2nd Street Park",High,220,2019
"Raritan River, 2nd Street Park",High,310,2019
"Raritan River, 2nd Street Park",Unacceptable if levels persist,46,2019
"Raritan River, 2nd Street Park",Unacceptable if levels persist,70,2019
"Raritan River, 2nd Street Park",High,1700,2019
"Raritan River, 2nd Street Park",High,1100,2019
"Raritan River, 2nd Street Park",High,3600,2019
"Raritan River, 2nd Street Park",Unacceptable if levels persist,60,2019
"Raritan River, 2nd Street Park",Acceptable,10,2020
"Raritan River, 2nd Street Park",Unacceptable if levels persist,68,2020
"Raritan River, 2nd Street Park",Acceptable,30,2020
"Raritan River, 2nd Street Park",Acceptable,10,2020
"Raritan River, 2nd Street Park",Acceptable,26,2020
"Raritan River, 2nd Street Park",High,2800,2020
"Raritan River, 2nd Street Park",High,330,2020
"Raritan River, 2nd Street Park",High,460,2020
"Raritan River, 2nd Street Park",High,171,2021
"Raritan River, 2nd Street Park",Unacceptable if levels persist,63,2021
"Raritan River, 2nd Street Park",High,243,2021
"Raritan River, 2nd Street Park",Acceptable,10,2021
"Raritan River, 2nd Street Park",Acceptable,31,2021
"Raritan River, 2nd Street Park",High,213,2021
"Raritan River, 2nd Street Park",Acceptable,10,2021
"Raritan River, 2nd Street Park",Unacceptable if levels persist,41,2021
"Raritan River, 2nd Street Park",High,3873,2021
"Raritan River, 2nd Street Park",Acceptable,10,2021
"Raritan River, 2nd Street Park",High,12003,2021
"Raritan River, 2nd Street Park",High,733,2021
"Raritan River, 2nd Street Park",High,2489,2021
"Raritan River, Edison Boat Basin",High,640,2019
"Raritan River, Edison Boat Basin",High,250,2019
"Raritan River, Edison Boat Basin",High,150,2019
"Raritan River, Edison Boat Basin",High,2600,2019
"Raritan River, Edison Boat Basin",Unacceptable if levels persist,60,2019
"Raritan River, Edison Boat Basin",Unacceptable if levels persist,41,2019
"Raritan River, Edison Boat Basin",High,3200,2019
"Raritan River, Edison Boat Basin",Unacceptable if levels persist,43,2019
"Raritan River, Edison Boat Basin",High,130,2019
"Raritan River, Edison Boat Basin",High,430,2019
"Raritan River, Edison Boat Basin",High,410,2019
"Raritan River, Edison Boat Basin",High,530,2019
"Raritan River, Edison Boat Basin",High,3000,2019
"Raritan River, Edison Boat Basin",High,2100,2019
"Raritan River, Edison Boat Basin",High,3100,2019
"Raritan River, Edison Boat Basin",High,1800,2019
"Raritan River, Edison Boat Basin",High,330,2019
"Raritan River, Edison Boat Basin",High,295,2020
"Raritan River, Edison Boat Basin",Unacceptable if levels persist,86,2020
"Raritan River, Edison Boat Basin",High,1200,2020
"Raritan River, Edison Boat Basin",High,700,2020
"Raritan River, Edison Boat Basin",High,300,2020
"Raritan River, Edison Boat Basin",High,230,2020
"Raritan River, Edison Boat Basin",High,670,2020
"Raritan River, Edison Boat Basin",High,3600,2020
"Raritan River, Edison Boat Basin",Unacceptable if levels persist,100,2020
"Raritan River, Edison Boat Basin",Unacceptable if levels persist,100,2020
"Raritan River, Edison Boat Basin",High,2064,2021
"Raritan River, Edison Boat Basin",High,146,2021
"Raritan River, Edison Boat Basin",High,3448,2021
"Raritan River, Edison Boat Basin",Acceptable,20,2021
"Raritan River, Edison Boat Basin",Acceptable,20,2021
"Raritan River, Edison Boat Basin",High,106,2021
"Raritan River, Edison Boat Basin",Acceptable,20,2021
"Raritan River, Edison Boat Basin",High,216,2021
"Raritan River, Edison Boat Basin",Unacceptable if levels persist,41,2021
"Raritan River, Edison Boat Basin",High,146,2021
"Raritan River, Edison Boat Basin",High,121,2021
"Raritan River, Edison Boat Basin",High,1017,2021
"Raritan River, Edison Boat Basin",High,298,2021
"Raritan River, Edison Boat Basin",High,820,2021
"Raritan River, Edison Boat Basin",Acceptable,31,2021
"Raritan River, Edison Boat Basin",Unacceptable if levels persist,84,2021
"Raritan River, Ken Buchanan Park",Unacceptable if levels persist,46,2019
"Raritan River, Ken Buchanan Park",High,250,2019
"Raritan River, Ken Buchanan Park",High,5200,2019
